duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,comments
420,4/27/20 20:12,R_tPA4Y3MJUgPgDUl,,,,,,,,50,50,50,50,1,1,1,good
241,4/27/20 20:12,R_T61RB5Hfkjbxf5T,,,,,,,,0,19,20,0,1,0,3,no
235,4/27/20 20:14,R_BryRNJAb4mPoa8F,0,19,20,0,1,0,3,,,,,,,,no
79,4/27/20 20:14,R_3ReApLZdzfI6B7q,20,20,19,15,1,1,1,,,,,,,,no
115,4/27/20 20:14,R_3KV2OeB8P1O5FbM,10,10,5,2,1,1,2,,,,,,,,Nothing
315,4/27/20 20:14,R_3fVJAlLBoweFIBL,,,,,,,,0,19,20,0,1,0,3,No
228,4/27/20 20:15,R_1IbCJFZa78LmtjN,,,,,,,,0,19,20,0,1,0,3,no
123,4/27/20 20:16,R_2WTjqXSPSlow2KP,,,,,,,,0,19,20,0,1,0,3,Not at all
286,4/27/20 20:16,R_20OrjG2TvnPT5V1,,,,,,,,0,19,20,0,1,0,3,no
278,4/27/20 20:19,R_3kl8GN5v0jQMNIB,19,5,20,3,1,0,2,,,,,,,,
86,4/27/20 20:21,R_3mdEno4pGPbm5Ot,,,,,,,,0,0,20,0,1,0,3,
564,4/27/20 20:21,R_2CIADaWXn78O7gR,,,,,,,,0,0,20,0,1,0,3,"No, everything was clear."
169,4/27/20 20:22,R_3qIGd3id0jUpB7p,,,,,,,,0,0,20,0,1,0,3,no
147,4/27/20 20:22,R_1git4UC7T4YNxLD,0,19,20,0,0,0,3,,,,,,,,No
401,4/27/20 20:22,R_3M0a59Uj2lMQgbO,0,19,20,0,1,0,3,,,,,,,,No
614,4/27/20 20:23,R_QcPgUD8qw3ha3RL,,,,,,,,20,19,20,0,0,0,3,"No, it was quite clear"
296,4/27/20 20:24,R_25N7e5VyELyjL7g,5,20,20,19,1,0,1,,,,,,,,na
179,4/27/20 20:27,R_3J9Ic3EhBAUr7ht,19,19,20,0,1,0,3,,,,,,,,no
206,4/27/20 20:31,R_2Xj4OePQtSwWjGU,,,,,,,,0,19,20,0,1,0,3,no
94,4/27/20 20:32,R_12xJqjNbHslT1yQ,2,4,5,3,1,1,1,,,,,,,,Nothing
120,4/27/20 20:34,R_2R94mMYLBLVtldA,,,,,,,,20,20,19,0,1,1,1,none
149,4/27/20 20:40,R_1es35qNy90ZLW2i,,,,,,,,0,19,19,0,1,0,3,no
208,4/27/20 20:41,R_1CwL7vdL9OZeJZD,0,19,20,0,1,0,3,,,,,,,,no
170,4/27/20 20:42,R_2v1jveJVdDrFRQ7,0,19,20,0,1,0,3,,,,,,,,no
237,4/27/20 20:42,R_5bBasRdNHkxjhRv,,,,,,,,19,20,20,19,1,1,1,NO
160,4/27/20 20:43,R_3dKsrwKFbShfsQE,,,,,,,,0,20,20,0,1,0,3,The story was confusing because it left out reasoning behind why the fish population wouldn't decline despite more fish being caught.
156,4/27/20 20:43,R_2fBrmFvs9K5o1JR,,,,,,,,0,19,20,0,1,0,3,No
680,4/27/20 20:44,R_1posGijNYxplQqC,,,,,,,,19,19,0,0,0,0,3,Nothing. It was clear.
156,4/27/20 20:48,R_2zI3sF9rt5cVSG2,,,,,,,,0,19,20,0,1,0,2,
202,4/27/20 20:51,R_1DYjf9O2QXkHOLh,0,19,20,0,0,0,3,,,,,,,,no
122,4/27/20 20:51,R_2pYtQe39mTJgyLU,0,20,19,0,1,1,2,,,,,,,,na
221,4/27/20 20:52,R_DH7EvahCms6TKcF,,,,,,,,0,19,20,0,0,0,3,"I don't think so, but if it didn't affect the fish population, why did nobody want to use the hooks?"
148,4/27/20 20:52,R_28APFl2MlK7MNG9,19,0,20,0,0,0,3,,,,,,,,
141,4/27/20 20:54,R_3Pnm8bgQY0hzwt3,0,19,20,0,1,0,3,,,,,,,,No
179,4/27/20 20:55,R_1IaxGqUb8NtwYw4,,,,,,,,0,19,20,0,1,0,3,Not really
128,4/27/20 20:55,R_25Xb1NrIKzFQxae,0,19,20,0,1,0,3,,,,,,,,no
791,4/27/20 20:55,R_81EHLKFxtbqKmHv,5,19,20,3,1,1,2,,,,,,,,Nothing
146,4/27/20 20:56,R_1rBrRYwVJ1SZeP9,0,19,20,0,0,0,3,,,,,,,,"No, I don't think so"
160,4/27/20 20:56,R_4SGYOUxj5CP4oVP,,,,,,,,20,20,19,20,1,1,1,no
114,4/27/20 20:56,R_PY7i4MXXa80O6g9,,,,,,,,0,19,20,0,1,0,3,No
121,4/27/20 20:56,R_2UXSIHdPkzwDm1s,,,,,,,,0,19,20,0,1,0,3,no
207,4/27/20 20:59,R_3MiClXO3JRn6RZR,0,19,20,0,1,0,3,,,,,,,,not really
291,4/27/20 21:00,R_1lgb8OJbvp8EywI,,,,,,,,0,0,20,0,1,0,3,nothing
305,4/27/20 21:00,R_3C5GmDOEi7AcYZX,19,0,20,0,1,0,3,,,,,,,,Not at all.
309,4/27/20 21:01,R_3NwGXmi5ZKuMrof,19,19,18,12,1,1,1,,,,,,,,NO
157,4/27/20 21:02,R_2vYs6QgCn5p8zOU,,,,,,,,19,20,20,19,1,1,2,no
147,4/27/20 21:03,R_DjHizMoIOzwNjY5,,,,,,,,0,19,20,0,1,0,3,No
225,4/27/20 21:04,R_AdO3XklHX97IckV,0,19,20,0,1,0,2,,,,,,,,not at all
191,4/27/20 21:07,R_dfZkMId3U3R9P21,,,,,,,,0,19,20,0,1,0,2,none
373,4/27/20 21:07,R_1P6H0kDOFTCDfRW,3,5,19,5,1,0,3,,,,,,,,there is nothing to unclear
232,4/27/20 21:09,R_1dcAxhiiWBM4ps9,0,19,20,0,1,0,2,,,,,,,,no
117,4/27/20 21:10,R_1hSDKuRZLdu8GCY,0,19,20,0,0,0,3,,,,,,,,
209,4/27/20 21:13,R_3PFhnMSZXuqSg8Y,,,,,,,,0,19,20,0,1,0,3,No
213,4/27/20 21:15,R_1Qz1XNy62CVNGnR,,,,,,,,1,19,20,0,1,0,3,no
196,4/27/20 21:17,R_2RNW6tys8PoYWWA,0,0,20,0,1,0,3,,,,,,,,The instructions on the first page didn't specify that only numbers were usable for answers.
127,4/27/20 21:18,R_Zl3lIYNlMwUvoJz,0,19,20,0,0,0,3,,,,,,,,no
173,4/27/20 21:18,R_1kGMoBGSJRYE6lP,,,,,,,,0,19,20,0,1,0,3,no
133,4/27/20 21:19,R_9NCtLHMdAk4388V,,,,,,,,0,19,20,0,1,0,3,nope
88,4/27/20 21:22,R_3ISnrmYTR5WoYjF,7,4,10,12,1,1,2,,,,,,,,this survey is very clear.
45,4/27/20 21:24,R_3lMJ5rnEhgnPws0,,,,,,,,19,20,19,20,1,1,2,no
